split,target,rmse,mae
train,virality_score,9.186270408389804,0.9535780904192173
valid,virality_score,2.677360238661285,0.8591936409235993
test,virality_score,2.4864228326094486,0.8980626866716424
train,peak_time,4.194203745228408,3.624753832098903
valid,peak_time,4.252144759054316,3.687855810066392
test,peak_time,4.311510241218554,3.7573040125798074
