feature,mean_abs_shap
search_growth_14d,0.31914976681608237
search_ma_7d,0.1552857886955687
search_growth_7d,0.14724554530870326
search_acceleration,0.07166178637387012
click_growth_14d,0.06474184869299532
mention_growth_14d,0.06081312033962176
search_pos_14d,0.056736538694295686
mention_std_7d,0.05268469399275115
click_ma_7d,0.05018664526103325
click_growth_7d,0.049875122810267264
search_std_7d,0.04850003237823301
mention_ma_7d,0.03793915806712653
search_slope_14d,0.027666744003839165
search_growth_3d,0.027065422792417002
engagement_force,0.023593797091308124
click_search_ratio,0.023591085658153165
search_slope_7d,0.023053094917744463
mention_growth_7d,0.022513151810375484
click_peak_gap,0.021997668043815158
lead_signal_7d,0.01879511450001921
viral_force,0.01840346138847142
mention_search_ratio,0.01777730921573967
mention_acceleration,0.016890036606697575
click_slope_14d,0.016636718111689885
click_pos_14d,0.01565748479100007
mid_click_ratio,0.015586504003142721
days_since_max_14d,0.01524322698270426
days_since_mention_max_14d,0.013792022600640575
click_std_7d,0.013590001131635073
click_acceleration,0.013140505723933615
click_lead_signal_7d,0.012319407355068299
age50p_click_ratio,0.01138676828331643
mention_ma_3d,0.010120031712122661
young_click_ratio,0.009055211627006898
click_growth_3d,0.008263284014667513
click_slope_7d,0.007393430519542943
age20_click_ratio,0.0065195412055470015
male_click_ratio,0.006183564790147287
age_click_shift_7d,0.005089797733689487
days_since_click_max_14d,0.005015694836046534
age40_click_ratio,0.004490865053325901
female_click_ratio,0.004210542135673252
mention_growth_3d,0.004056042817225196
age_click_entropy,0.0039172567562534046
gender_click_shift_7d,0.003769816418933629
mention_pos_14d,0.003392778233349336
peak_gap,0.0029279482263602236
age30_click_ratio,0.0027084259774011557
age10_click_ratio,0.001496528648263255
gender_click_skew,0.0014719946691944292
core_age_click_ratio,0.001434995286400996
